tract,Neighborhood,City,State,Iincarceration Rate,Races 
24510120500,Greenmount West, Baltimore, MD,0.1268,All 
24510080800,Broadway East, Baltimore, MD,0.1161,All 
24510080400,Broadway East, Baltimore, MD,0.1066,All 
24510180100,Poppleton, Baltimore, MD,0.1033,All 
24510160200,Sandtown-Winchester, Baltimore, MD,0.0996,All 
24510200400,Shipley Hill, Baltimore, MD,0.0987,All 
24510090900,Oliver, Baltimore, MD,0.0931,All 
24510250204,Cherry Hill, Baltimore, MD,0.0911,All 
24510100100,Johnson Square, Baltimore, MD,0.0897,All 
24510200100,Lexington, Baltimore, MD,0.0883,All 
24510070200,Madison - Eastend, Baltimore, MD,0.0865,All 
24510190100,Franklin Square, Baltimore, MD,0.0843,All 
24510250301,Westport, Baltimore, MD,0.0843,All 
24510070400,Gay Street, Baltimore, MD,0.0825,All 
24510200702,Saint Joseph's, Baltimore, MD,0.0775,All 
24510080301,Berea, Baltimore, MD,0.0775,All 
24510140300,Druid Heights, Baltimore, MD,0.0769,All 
24510080700,Broadway East, Baltimore, MD,0.0768,All 
24510140200,Upton, Baltimore, MD,0.0758,All 
24510120400,Barclay, Baltimore, MD,0.0743,All 
24510080200,Broadway East, Baltimore, MD,0.074,All 
24510160700,Rosemont, Baltimore, MD,0.0725,All 
24510170100,Downtown, Baltimore, MD,0.0725,All 
24510200200,Lexington, Baltimore, MD,0.0722,All 
24510130200,Reservoir Hill, Baltimore, MD,0.0722,All 
24510190200,Pratt Monroe, Baltimore, MD,0.0708,All 
24510130300,Penn North, Baltimore, MD,0.0704,All 
24510120600,Old Goucher, Baltimore, MD,0.0703,All 
24510280302,West Forest Park, Baltimore, MD,0.0703,All 
24510170300,Upton, Baltimore, MD,0.0698,All 
24510180200,Poppleton, Baltimore, MD,0.0689,All 
24510250207,Cherry Hill, Baltimore, MD,0.0684,All 
24510190300,Mount Clare, Baltimore, MD,0.0675,All 
24510260604,O'Donnell Heights, Baltimore, MD,0.067,All 
24510130400,Woodbrook, Baltimore, MD,0.0661,All 
24510160801,Edmondson, Baltimore, MD,0.0661,All 
24510260402,Frankford, Baltimore, MD,0.066,All 
24510270701,Harford - Echodale - Perring Parkway, Baltimore, MD,0.0652,All 
24510271600,Edgecomb, Baltimore, MD,0.0649,All 
24510210100,Pigtown, Baltimore, MD,0.0645,All 
24510120300,Harwood, Baltimore, MD,0.0644,All 
24510090800,East Baltimore Midway, Baltimore, MD,0.0634,All 
24510080500,Darley Park, Baltimore, MD,0.0613,All 
24510130100,Reservoir Hill, Baltimore, MD,0.061,All 
24510060300,Butchers Hill, Baltimore, MD,0.0608,All 
24510090600,Coldstream - Homestead - Montebello, Baltimore, MD,0.0607,All 
24510260301,Belair - Edison, Baltimore, MD,0.0602,All 
24510170200,McCulloh Homes, Baltimore, MD,0.0594,All 
24510260403,Cedonia, Baltimore, MD,0.0584,All 
24510150600,NW Community Action, Baltimore, MD,0.0582,All 
24510250203,Cherry Hill, Baltimore, MD,0.058,All 
24510150300,Coppin Heights, Baltimore, MD,0.0579,All 
24510150100,Sandtown-Winchester, Baltimore, MD,0.0578,All 
24510280500,Pleasant View Gardens, Baltimore, MD,0.0575,All 
24510151200,Park Circle, Baltimore, MD,0.0575,All 
24510180300,Hollins Market, Baltimore, MD,0.057,All 
24510070300,Milton - Montford, Baltimore, MD,0.0563,All 
24510271801,Arlington, Baltimore, MD,0.056,All 
24510200300,Bentalou-Smallwood, Baltimore, MD,0.0557,All 
