Tract,Neighborhood,City,State,Incarceration Rate,Race
51700032225,North Newport News, Newport News, VA,0.0557,White 
51700032126,Central Newport News, Newport News, VA,0.0419,White 
51700032300,Fort Eustis, Newport News, VA,0.0269,White 
51700032212,North Newport News, Newport News, VA,0.0264,White 
51700032006,Jenkins, Newport News, VA,0.0259,White 
51700032132,North Newport News, Newport News, VA,0.0257,White 
51700031400,South Newport News, Newport News, VA,0.0209,White 
51700031601,South Newport News, Newport News, VA,0.0169,White 
51700032123,North Newport News, Newport News, VA,0.0167,White 
51700032224,North Newport News, Newport News, VA,0.0146,White 
51700032129,South Newport News, Newport News, VA,0.0122,White 
51700031701,Central Newport News, Newport News, VA,0.0122,White 
51700032131,North Newport News, Newport News, VA,0.0095,White 
51700032124,McIntosh, Newport News, VA,0.0085,White 
51700031902,Central Newport News, Newport News, VA,0.0084,White 
51700031602,South Newport News, Newport News, VA,0.0082,White 
51700032113,Central Newport News, Newport News, VA,0.0076,White 
51700031702,Boulevard, Newport News, VA,0.0074,White 
51700032226,North Newport News, Newport News, VA,0.0074,White 
51700032007,North Newport News, Newport News, VA,0.0069,White 
51700032001,Central Newport News, Newport News, VA,0.0067,White 
51700032400,Greenwood, Newport News, VA,0.0066,White 
51700032211,Central Newport News, Newport News, VA,0.0064,White 
51700032005,Central Newport News, Newport News, VA,0.0051,White 
51700031500,Central Newport News, Newport News, VA,0.0046,White 
51700032128,Central Newport News, Newport News, VA,0.0041,White 
51700032117,Saunders, Newport News, VA,0.0033,White 
51700032127,Central Newport News, Newport News, VA,0.0031,White 
51700032130,Central Newport News, Newport News, VA,0.003,White 
51700031800,Central Newport News, Newport News, VA,0.0021,White 
51700032114,Central Newport News, Newport News, VA,0.0014,White 
51700031901,Central Newport News, Newport News, VA,0.0009,White 
51700032223,North Newport News, Newport News, VA,0,White 
